Name, Textures 
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_Column02.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_AncientTower_Dungeon_Column02_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_Column02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_Column02_LHS_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_AncientTower_Dungeon_Column02_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_Column02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_Column03.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_AncientTower_Dungeon_Column02_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_Column02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_EnteranceGate01_LHS.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_AncientTower_Dungeon_EnteranceGate01_LHS_N 	*[Albedo] : T_AncientTower_Dungeon_EnteranceGate01_LHS_D 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_EnteranceGate01_LHS1.uasset, *[Normal] : T_AncientTower_Dungeon_EnteranceGate01_LHS_N 	*[Albedo] : T_AncientTower_Dungeon_EnteranceGate01_LHS_D 	*[Mask] : mask_1_0_0 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_GatePillar_LHS_dn.uasset, *[Mask] : T_AncientTower_Dungeon_GatePillar_LHS_me 	*[Normal] : T_AncientTower_Dungeon_GatePillar_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_GatePillar_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_MemoryWall01_LHS_dn.uasset, *[Mask] : T_AncientTower_Dungeon_MemoryWall01_LHS_me 	*[Normal] : T_AncientTower_Dungeon_MemoryWall01_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_MemoryWall01_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_MemoryWall02_LHS_dn.uasset, *[Mask] : T_AncientTower_Dungeon_MemoryWall02_LHS_me 	*[Normal] : T_AncientTower_Dungeon_MemoryWall02_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_MemoryWall02_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_TowerDeco05_LHS_dn.uasset, *[Mask] : T_AncientTower_Dungeon_TowerDeco05_LHS_me 	*[Normal] : T_AncientTower_Dungeon_TowerDeco05_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_TowerDeco05_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_TowerDeco05_LHS_dn_Dark.uasset, *[Mask] : T_AncientTower_Dungeon_TowerDeco05_LHS_me 	*[Normal] : T_AncientTower_Dungeon_TowerDeco05_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_TowerDeco05_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_AncientTower_Dungeon_TowerDeco05_LHS_dn_Dark2.uasset, *[Mask] : T_AncientTower_Dungeon_TowerDeco05_LHS_me 	*[Normal] : T_AncientTower_Dungeon_TowerDeco05_LHS_no 	*[Albedo] : T_AncientTower_Dungeon_TowerDeco05_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/2_BLESS/Archi/Materials/M_ArbaJungle_Object_Statue01_LHS.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_ArbaJungle_Object_Statue01_LHS_N 	*[Albedo] : T_ArbaJungle_Object_Statue01_LHS_D 	
