Albedo Texture,Normal Texture
T_AncientTower_Dungeon_Column02_LHS_dn,T_AncientTower_Dungeon_Column02_LHS_no 	
T_AncientTower_Dungeon_Column02_LHS_dn,T_AncientTower_Dungeon_Column02_LHS_no 	
T_AncientTower_Dungeon_Column02_LHS_dn,T_AncientTower_Dungeon_Column02_LHS_no 	
T_AncientTower_Dungeon_EnteranceGate01_LHS_D,T_AncientTower_Dungeon_EnteranceGate01_LHS_N 	
T_AncientTower_Dungeon_EnteranceGate01_LHS_D 	,T_AncientTower_Dungeon_EnteranceGate01_LHS_N 	
T_AncientTower_Dungeon_GatePillar_LHS_dn,T_AncientTower_Dungeon_GatePillar_LHS_no 	
T_AncientTower_Dungeon_MemoryWall01_LHS_dn,T_AncientTower_Dungeon_MemoryWall01_LHS_no 	
T_AncientTower_Dungeon_MemoryWall02_LHS_dn,T_AncientTower_Dungeon_MemoryWall02_LHS_no 	
T_AncientTower_Dungeon_TowerDeco05_LHS_dn,T_AncientTower_Dungeon_TowerDeco05_LHS_no 	
T_AncientTower_Dungeon_TowerDeco05_LHS_dn,T_AncientTower_Dungeon_TowerDeco05_LHS_no 	
T_AncientTower_Dungeon_TowerDeco05_LHS_dn,T_AncientTower_Dungeon_TowerDeco05_LHS_no 	
T_ArbaJungle_Object_Statue01_LHS_D,T_ArbaJungle_Object_Statue01_LHS_N 	
T_ArbaJungle_Object_Statue01_LHS_D,T_ArbaJungle_Object_Statue01_LHS_N 	
T_ArbaJungle_Object_Statue01_LHS_D,T_ArbaJungle_Object_Statue01_LHS_N 	
T_bd_wall_A_dn,T_bd_wall_A_no 	
T_bd_wall_A_dn,T_bd_wall_A_no 	
T_bd_wall_A_dn,T_bd_wall_A_no 	
T_bd_wall_B_dn,T_bd_wall_B_no 	
T_bd_wall_B_dn,T_bd_wall_B_no 	
T_bd_wall_C_dn,T_bd_wall_C_no 	
T_bd_wall_C_dn,T_bd_wall_C_no 	
T_Binterrante_Object_BridgeStoneStairsFloor_D 	,T_cm_DefaultNormal_a_01_dn
T_Binterrante_Object_BridgeStoneStairsFloor_D 	,T_Binterrante_Object_BridgeStoneStairsFloor_N
T_Binterrante_Object_BridgeStoneStairsFloor_D 	,T_Binterrante_Object_BridgeStoneStairsFloor_N
T_Binterrante_Object_BridgeStoneWall_D 	,T_Binterrante_Object_BridgeStoneWall_N
T_Binterrante_Object_BridgeStoneWall_D 	,T_Binterrante_Object_BridgeStoneWall_N
T_Binterrante_Object_BridgeStoneWall_D 	,T_Binterrante_Object_BridgeStoneWall_N
T_brobox_A_dn,T_brobox_A_no 	
T_brobox_A_dn,T_brobox_A_no 	
T_brobox_A_dn,T_brobox_A_no 	
T_brocart_A_dn,T_brocart_A_no 	
T_brocart_B_dn,T_brocart_B_no 	
T_Common_Object_Mirador_D01,T_Common_Object_Mirador_N01 	
T_Common_Object_Mirador_D02,T_Common_Object_Mirador_N02 	
T_Common_Object_SignalFire_D,T_Common_Object_SignalFire_N 	
T_Cornus_Fortress_Frontgate02_LHS_D,T_Cornus_Fortress_Frontgate02_LHS_N 	
T_Cornus_Fortress_Frontgate11_LHS_D,T_Cornus_Fortress_Frontgate11_LHS_N 	
T_Cornus_Fortress_Frontgate11_LHS_D,T_Cornus_Fortress_Frontgate11_LHS_N 	
T_Cornus_Fortress_Smallgate02_LHS_D,T_Cornus_Fortress_Smallgate02_LHS_N 	
T_Cornus_Fortress_Smallgate02_LHS_D,T_Cornus_Fortress_Smallgate02_LHS_N 	
T_Cornus_Fortress_Smallgate06_LHS_D,T_Cornus_Fortress_Smallgate06_LHS_N 	
T_Cornus_Fortress_Smallgate06_LHS_D,T_Cornus_Fortress_Smallgate06_LHS_N 	
T_Cornus_Fortress_Tower18_LHS_D,T_Cornus_Fortress_Tower18_LHS_N 	
T_HarvartyVillage_Ruin_Building01A_D 	,T_HarvartyVillage_Ruin_Building01A_N
T_Day_FloorCircle01_LHS_D,T_Day_FloorCircle01_LHS_N 	
T_Day_FloorCircle02_LHS_D,T_Day_FloorCircle02_LHS_N 	
T_Day_FloorCircle03_LHS_D,T_Day_FloorCircle03_LHS_N 	
T_Day_FloorCircle05_LHS_D,T_Day_FloorCircle02_LHS_N 	
T_Day_FloorCircle06_LHS_D,T_Day_FloorCircle03_LHS_N 	
T_DeadForest_Object_StoneBridge_D01,T_DeadForest_Object_StoneBridge_N01 	
T_DeadForest_Object_StoneBridge_D02,T_DeadForest_Object_StoneBridge_N02 	
T_DoorGate_01_dn 	,T_DoorGate_01_no 	
T_ElRano_City_LLStreetlampA_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_FishNet_B_D,T_FishNet_B_N 	
T_FishNet_C_dn 	,T_FishNet_C_no 	
T_FishNet_C_dn 	,T_FishNet_C_no 	
T_Floor01_LHS_D,T_Floor01_LHS_N 	
T_F_06_FishNet_A_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_F_06_flyrob_A_dn,T_F_06_flyrob_A_no 	
T_F_06_flyrob_A_dn,T_F_06_flyrob_A_no 	
T_Gnollando_Object_Tentset01_D,T_Gnollando_Object_Tentset01_N 	
T_Gnollando_Object_Tentset02_D 	,T_Gnollando_Object_Tentset02_N 	
T_Gnollando_Object_Tentset01_D,T_Gnollando_Object_Tentset01_N 	
T_GriefColumn01_LHS_dn,T_GriefColumn01_LHS_no 	
T_GriefColumn01_LHS_dn,T_GriefColumn01_LHS_no 	
T_GriefColumn02_LHS_dn,T_GriefColumn02_LHS_no 	
T_GriefColumn02_LHS_dn,T_GriefColumn02_LHS_no 	
T_GriefColumn02_LHS_dn,T_GriefColumn02_LHS_no 	
T_GriefColumn03_LHS_dn,T_GriefColumn03_LHS_no 	
T_GriefColumn03_LHS_dn,T_GriefColumn03_LHS_no 	
T_GriefColumn03_LHS_dn,T_GriefColumn03_LHS_no 	
T_Hieracon_Object_HorsebackEntrance01_D,T_cm_DefaultNormal_a_01_dn 	
T_Hieracon_Object_HorsebackEntrance01_D 	,T_cm_DefaultNormal_a_01_dn
T_LV_DesertValley_Goblin_ChiefHouseStoneChair_dn,T_LV_DesertValley_Goblin_ChiefHouseStoneChair_no 	
T_LV_DesertValley_Goblin_WatchTower02_dn 	,T_LV_DesertValley_Goblin_WatchTower02_no
T_LV_DesertValley_Goblin_WatchTower02_dn 	,T_LV_DesertValley_Goblin_WatchTower02_no 	
T_LV_ElRano_City_Port05_dn,T_LV_ElRano_City_Port05_no 	
T_LV_Saltus_Object_BossPlatform02_dn,T_LV_Saltus_Object_BossPlatform02_no 	
T_LV_Saltus_Object_BossTent01_SM_LYW1_dn 	,T_LV_Saltus_Object_BossTent01_SM_LYW1_no
T_LV_Saltus_Object_BossTent01_SM_LYW_dn 	,T_LV_Saltus_Object_BossTent01_SM_LYW_no
T_MERGED_LV_NSaltus_Rock_CrystalRock03_SM_NWCNIK3_dn,T_MERGED_LV_NSaltus_Rock_CrystalRock03_SM_NWCNIK3_no 	
T_MERGED_LV_NSaltus_Rock_CrystalRock03_SM_NWCNIK3_dn,T_MERGED_LV_NSaltus_Rock_CrystalRock03_SM_NWCNIK3_no 	
T_MERGED_LV_NSaltus_Rock_CrystalRock03_SM_NWCNIK3_dn,T_MERGED_LV_NSaltus_Rock_CrystalRock03_SM_NWCNIK3_no 	
T_MetalDoor_01_dn 	,T_MetalDoor_01_no 	
T_MiddleSquareMain02_LHS_dn,T_MiddleSquareMain02_LHS_no 	
T_MineDoor01_LHS_dn,T_MineDoor01_LHS_no 	
T_MineDoor02_LHS_dn,T_MineDoor02_LHS_no 	
T_Pf_Ruin03_LHS_D,T_Pf_Ruin03_LHS_N 	
T_PrisonDoor01_LHS_dn,T_PrisonDoor01_LHS_no 	
T_PrisonDoor01_LHS_dn 	,T_PrisonDoor01_LHS_no 	
T_PrisonDoor01_LHS_dn,T_cm_DefaultNormal_a_01_dn 	
T_RoundBar01_LHS_dn,T_RoundBar01_LHS_no 	
T_Ruins01_LHS_Diffuse,T_Ruins01_LHS_Normal 	
T_Ruins01_LHS_Diffuse,T_Ruins01_LHS_Normal 	
T_Ruins01_LHS_Diffuse,T_Ruins01_LHS_Normal 	
T_Ruin_Column_01_YN_dn,T_Ruin_Column_01_YN_no 	
T_Ruin_Column_01_YN_dn 	,T_Ruin_Column_01_YN_no 	
T_Ruin_Column_01_YN_dn,T_Ruin_Column_01_YN_no 	
T_Ruin_Column_01_YN_dn,T_Ruin_Column_01_YN_no 	
T_Ruin_Column_01_YN_dn,T_Ruin_Column_01_YN_no 	
T_SiegeWeapon01_LHS_D,T_SiegeWeapon01_LHS_N 	
T_cm_White_a_01_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_cm_White_a_01_dn 	,T_cm_DefaultNormal_a_01_dn 	
T_Default_Water_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Spirit_Wall01_YN_dn,T_Spirit_Wall01_YN_no 	
LV_TurtleLake_Object_FishingNet_dn 	,LV_TurtleLake_Object_FishingNet_no 	
T_TurtleLake_Rock_StoneStair_D,T_LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_TurtleLake_Rock_StoneStair_D,T_LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_TurtleLake_Rock_StoneStair_D 	,T_LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_TurtleLake_Rock_StoneStair_D,T_LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_TurtleLake_Rock_StoneStair_D,T_LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_TurtleLake_Rock_StoneStair_D,T_LV_TurtleLake_Rock_StoneStair_N_EYE 	
T_LV_Campagna_CityHouse_House04_dn 	,T_LV_Campagna_CityHouse_House04_no
LV_Vachel_Object_Windmill04_D_NWCVCT 	,T_cm_DefaultNormal_a_01_dn 	
T_Window_01_YN_dn 	,T_Window_01_YN_no 	
T_woodpillar_A_dn,T_woodpillar_A_no 	
T_ground_decowood_D_dn,T_ground_decowood_D_no 	
T_woodstair_C_dn,T_woodstair_C_no 	
T_Wood_Arch_01_dn,T_Wood_Arch_01_no 	
LV_Common_Object_Mirador02_D_NWCTOY,LV_Common_Object_Mirador02_N_NWCTOY 	
LV_Common_Object_Mirador02_D_NWCTOY,LV_Common_Object_Mirador02_N_NWCTOY 	
T_ChiefHouseFloor01_LHS_dn,T_ChiefHouseFloor01_LHS_no 	
F04_Ground2 	,T_cm_DefaultNormal_a_01_dn
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_Neutral_Crater_A_Big_01_LHS_no
T_Circus_Tent_1_dn,T_cm_DefaultNormal_a_01_dn 	
T_Circus_Tent_1_dn,T_cm_DefaultNormal_a_01_dn 	
T_Circus_Tent_dn,T_cm_DefaultNormal_a_01_dn 	
T_cm_FlyingBoat_a_dn 	,T_DesertValley_Goblin_Roof01_SM_KHJ_no
T_cm_RockFar_a_dn 	,T_DesertValley_Goblin_Roof01_SM_KHJ_no
T_DeadForest_BasinAncient_Platform_LHS_D2,T_DeadForest_BasinAncient_Platform_LHS_N 	
T_DeadForest_BasinAncient_Platform_LHS_D3,T_DeadForest_BasinAncient_Platform_LHS_N 	
T_DeadForest_BasinAncient_Platform_LHS_D,T_DeadForest_BasinAncient_Platform_LHS_N 	
T_DesertValley_Goblin_Roof01_SM_KHJ_dn 	,T_DesertValley_Goblin_Roof01_SM_KHJ_no
T_DLV_M6_Deco_HabitatEggs02_SM_HMJ_dn,T_DLV_M6_Deco_HabitatEggs02_SM_HMJ_no 	
T_MemorialTablet04_LHS_dn,T_MemorialTablet04_LHS_no 	
T_MemorialTablet04_LHS_dn,T_MemorialTablet04_LHS_no 	
T_NPC_FederalSoldiers_dn,T_NPC_FederalSoldiers_no 	
T_NPC_ImperialSoldiers_dn,T_NPC_ImperialSoldiers_no 	
T_Rock_Altal01_LHS_dn 	,T_Rock_Altal01_LHS_no 	
T_Rock_Altal01_LHS_dn 	,T_Rock_Altal01_LHS_no 	
T_Rock_Altal01_LHS_dn 	,T_Rock_Altal01_LHS_no 	
LV_SealedLand_Rock_SpiderBasaltCop01_dn 	,T_cm_DefaultNormal_a_01_dn 	
LV_SealedLand_Rock_SpiderBasaltCop01_dn2 	,T_cm_DefaultNormal_a_01_dn 	
T_Totem01_LHS_dn,T_Totem01_LHS_no 	
T_Treasures_D 	,T_Treasures_N 	
T_Treasures_D 	,T_Treasures_N 	
T_Blood_D 	,T_cm_DefaultNormal_a_01_dn
T_Leaf_Shadow_D 	,T_cm_DefaultNormal_a_01_dn 	
T_Distant_View_D,T_Distant_View_N 	
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
T_F08_BackGround01_D 	,T_Distant_View_N
T_F08_BackGround02_D 	,T_Distant_View_N
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
Black_D 	,T_cm_DefaultNormal_a_01_dn 	
