Name, Textures 
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS1_no 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn1.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS1_no 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn2.uasset, *[Normal] : T_Black_Land_Bridge01_LHS1_no 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	*[Mask] : mask_1_0_0 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn3.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS1_no 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn4.uasset, *[weather Tex] : weather_m 	*[Normal] : T_cm_DefaultNormal_a_01_dn 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn5.uasset, *[weather Tex] : weather_m 	*[Normal] : T_cm_DefaultNormal_a_01_dn 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS1_dn6.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS1_no 	*[Albedo] : T_Black_Land_Bridge01_LHS1_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS_dn.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS_no 	*[Albedo] : T_Black_Land_Bridge01_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS_dn1.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS_no 	*[Albedo] : T_Black_Land_Bridge01_LHS_dn 	
D:/[BlessMobile_Sub]/depot/Main-TF/Client/Content/BG/3_Prefab/Black_Land/Material/M_Black_Land_Bridge01_LHS_dn2.uasset, *[Mask] : mask_0_1_1 	*[Normal] : T_Black_Land_Bridge01_LHS_no 	*[Albedo] : T_Black_Land_Bridge01_LHS_dn 	
