Albedo Texture,Normal Texture
T_Black_Land_Bridge01_LHS1_dn,T_Black_Land_Bridge01_LHS1_no 	
T_Black_Land_Bridge01_LHS1_dn,T_Black_Land_Bridge01_LHS1_no 	
T_Black_Land_Bridge01_LHS1_dn 	,T_Black_Land_Bridge01_LHS1_no 	
T_Black_Land_Bridge01_LHS1_dn,T_Black_Land_Bridge01_LHS1_no 	
T_Black_Land_Bridge01_LHS1_dn,T_cm_DefaultNormal_a_01_dn 	
T_Black_Land_Bridge01_LHS1_dn,T_cm_DefaultNormal_a_01_dn 	
T_Black_Land_Bridge01_LHS1_dn,T_Black_Land_Bridge01_LHS1_no 	
T_Black_Land_Bridge01_LHS_dn,T_Black_Land_Bridge01_LHS_no 	
T_Black_Land_Bridge01_LHS_dn,T_Black_Land_Bridge01_LHS_no 	
T_Black_Land_Bridge01_LHS_dn,T_Black_Land_Bridge01_LHS_no 	
T_Black_Land_Bridge01_LHS_dn,T_Black_Land_Bridge01_LHS_no 	
T_Black_Land_Cliff02_LHS_dn 	,T_Black_Land_Cliff02_LHS_no
T_Black_Land_Cliff02_LHS_dn 	,T_Black_Land_Cliff02_LHS_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Black_Land_Cliff02_LHS_dn 	,T_Black_Land_Cliff02_LHS_no
T_Black_Land_Cliff02_LHS_dn,T_Black_Land_Cliff02_LHS_no 	
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Black_Land_Cliff02_LHS_dn,T_Black_Land_Cliff02_LHS_no 	
DesertDustyRocks_basecolor 	,T_Black_Land_Rock00_LHS_no
T_Black_Land_Rock00_LHS_dn 	,T_Black_Land_Rock00_LHS_no
T_Black_Land_Rock01_LHS_dn 	,T_Black_Land_Rock01_LHS_no 	
T_Black_Land_Rock01_LHS_dn 	,T_Black_Land_Rock01_LHS_no 	
T_Black_Land_Rock03_LHS1_dn 	,T_Black_Land_Rock03_LHS1_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_Ork06_CY_1_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
DesertDustyRocks_basecolor 	,DesertDustyRocks_normal
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
T_Neutral_Crater_A_Big_01_LHS_dn 	,T_LV_BurningSands_Rock_Basilisk_no
